chim	Chimborazo
gabare,_bslat	Gabare (bslat)
gabare	Gabare (bslat)
gabra,_elpel	Gabra (elpel)
gabra	Gabra (elpel)
galata,_tetev	Galata (tetev)
galata	Galata (tetev)
ganchovec,_drjan	Ganchovec (drjan)
ganchovec	Ganchovec (drjan)
garmen,_gd	Garmen (gd)
garmen	Garmen (gd)
garvan,_sil	Garvan (sil)
garvan	Garvan (sil)
gega,_petr	Gega (petr)
gega	Gega (petr)
glozhene,_orjah	Glozhene (orjah)
glozhene	Glozhene (orjah)
golema_rakovica,_elpel	Golema rakovica (elpel)
golema_rakovica	Golema rakovica (elpel)
golemo_malovo,_sliven	Golemo malovo (sliven)
golemo_malovo	Golemo malovo (sliven)
golica,_varn	Golica (varn)
golica	Golica (varn)
goljama_zheljazna,_tetev	Goljama zheljazna (tetev)
goljama_zheljazna	Goljama zheljazna (tetev)
goljamo_shivachevo,_sliv	Goljamo shivachevo (sliv)
goljamo_shivachevo	Goljamo shivachevo (sliv)
gorna_rosica,_sevl	Gorna rosica (sevl)
gorna_rosica	Gorna rosica (sevl)
gorni_varpishta,_drjan	Gorni varpishta (drjan)
gorni_varpishta	Gorni varpishta (drjan)
govedarci,_sam	Govedarci (sam)
govedarci	Govedarci (sam)
gradec,_vd	Gradec (vd)
gradec	Gradec (vd)
huhla,_ivgr	Huhla (ivgr)
huhla	Huhla (ivgr)
hvojna,_asgr	Hvojna (asgr)
hvojna	Hvojna (asgr)
indzhe_vojvoda,_mtarn	Indzhe vojvoda (mtarn)
indzhe_vojvoda	Indzhe vojvoda (mtarn)
ivanski,_shum	Ivanski (shum)
ivanski	Ivanski (shum)
izvorovo,_harm	Izvorovo (harm)
izvorovo	Izvorovo (harm)
javorovo,_asgr	Javorovo (asgr)
javorovo	Javorovo (asgr)
kalipetrovo,_sil	Kalipetrovo (sil)
kalipetrovo	Kalipetrovo (sil)
kalojanovo,_plov	Kalojanovo (plov)
kalojanovo	Kalojanovo (plov)
karaisen,_pavl	Karaisen (pavl)
karaisen	Karaisen (pavl)
karanovo,_ajt	Karanovo (ajt)
karanovo	Karanovo (ajt)
kaspichan,_np	Kaspichan (np)
kaspichan	Kaspichan (np)
kolju_marinovo,_chirp	Kolju marinovo (chirp)
kolju_marinovo	Kolju marinovo (chirp)
kopilovci,_mont	Kopilovci (mont)
kopilovci	Kopilovci (mont)
koprivshtica,_pird	Koprivshtica (pird)
koprivshtica	Koprivshtica (pird)
korten,_nzag	Korten (nzag)
korten	Korten (nzag)
kostenec,_iht	Kostenec (iht)
kostenec	Kostenec (iht)
kovachevci,_sam	Kovachevci (sam)
kovachevci	Kovachevci (sam)
kozichino,_pom	Kozichino (pom)
kozichino	Kozichino (pom)
kramolin,_sevl	Kramolin (sevl)
kramolin	Kramolin (sevl)
kravenik,_sevl	Kravenik (sevl)
kravenik	Kravenik (sevl)
kreta,_vrach	Kreta (vrach)
kreta	Kreta (vrach)
krivnja,_razgr	Krivnja (razgr)
krivnja	Krivnja (razgr)
levunovo,_sand	Levunovo (sand)
levunovo	Levunovo (sand)
lipnica,_botgr	Lipnica (botgr)
lipnica	Lipnica (botgr)
ljubenova_mahala,_nzag	Ljubenova mahala (nzag)
ljubenova_mahala	Ljubenova mahala (nzag)
lobosh,_rad	Lobosh (rad)
lobosh	Lobosh (rad)
lozen,_sof	Lozen (sof)
lozen	Lozen (sof)
malomirovo,_elh	Malomirovo (elh)
malomirovo	Malomirovo (elh)
marikostinovo,_petr	Marikostinovo (petr)
marikostinovo	Marikostinovo (petr)
markovo,_shum	Markovo (shum)
markovo	Markovo (shum)
merdanja,_vtarn	Merdanja (vtarn)
merdanja	Merdanja (vtarn)
merichleri,_chirp	Merichleri (chirp)
merichleri	Merichleri (chirp)
mihalci,_pavl	Mihalci (pavl)
mihalci	Mihalci (pavl)
milchina_laka,_kul	Milchina laka (kul)
milchina_laka	Milchina laka (kul)
momchilovci,_smol	Momchilovci (smol)
momchilovci	Momchilovci (smol)
momina_banja,_pl	Momina banja (pl)
momina_banja	Momina banja (pl)
momina_klisura,_pz	Momina klisura (pz)
momina_klisura	Momina klisura (pz)
momkovo,_svgr	Momkovo (svgr)
momkovo	Momkovo (svgr)
mugla,_dev	Mugla (dev)
mugla	Mugla (dev)
nikolovo(lipnik),_rus	Nikolovo(lipnik) (rus)
nikolovo(lipnik)	Nikolovo(lipnik) (rus)
nikolovo,_hask	Nikolovo (hask)
nikolovo	Nikolovo (hask)
noevci,_brezn	Noevci (brezn)
noevci	Noevci (brezn)
nova_lovcha,_gd	Nova lovcha (gd)
nova_lovcha	Nova lovcha (gd)
nova_nadezhda,_hs	Nova nadezhda (hs)
nova_nadezhda	Nova nadezhda (hs)
novo_selo,_trojan	Novo selo (trojan)
novo_selo	Novo selo (trojan)
ognen,_karn	Ognen (karn)
ognen	Ognen (karn)
omarchevo,_nzag	Omarchevo (nzag)
omarchevo	Omarchevo (nzag)
opan,_stzag	Opan (stzag)
opan	Opan (stzag)
osenec,_razgr	Osenec (razgr)
osenec	Osenec (razgr)
panagjurishte,_gd	Panagjurishte (gd)
panagjurishte	Panagjurishte (gd)
pavelsko,_asgr	Pavelsko (asgr)
pavelsko	Pavelsko (asgr)
pelatikovo,_kjust	Pelatikovo (kjust)
pelatikovo	Pelatikovo (kjust)
petarnica,_plev	Petarnica (plev)
petarnica	Petarnica (plev)
pevec,_targ	Pevec (targ)
pevec	Pevec (targ)
plakovo,_vt	Plakovo (vt)
plakovo	Plakovo (vt)
podvis,_karn	Podvis (karn)
podvis	Podvis (karn)
pozharevo,_tutr	Pozharevo (tutr)
pozharevo	Pozharevo (tutr)
rabisha,_belgr	Rabisha (belgr)
rabisha	Rabisha (belgr)
radovene,_vr	Radovene (vr)
radovene	Radovene (vr)
rakovica,_kul	Rakovica (kul)
rakovica	Rakovica (kul)
rani_lug,_tryn	Rani lug (tryn)
rani_lug	Rani lug (tryn)
ruzhinci,_belgr	Ruzhinci (belgr)
ruzhinci	Ruzhinci (belgr)
sekirovo,_plov	Sekirovo (plov)
sekirovo	Sekirovo (plov)
senokos,_blgr	Senokos (blgr)
senokos	Senokos (blgr)
sestrino,_petr	Sestrino (petr)
sestrino	Sestrino (petr)
shipka,_kaz	Shipka (kaz)
shipka	Shipka (kaz)
shiroka_laka,_dev	Shiroka laka (dev)
shiroka_laka	Shiroka laka (dev)
shiroki_dol,_sam	Shiroki dol (sam)
shiroki_dol	Shiroki dol (sam)
shtipsko,_prov	Shtipsko (prov)
shtipsko	Shtipsko (prov)
skobelevo,_sliv	Skobelevo (sliv)
skobelevo	Skobelevo (sliv)
slaveino,_smol	Slaveino (smol)
slaveino	Slaveino (smol)
slavjanovo,_plev	Slavjanovo (plev)
slavjanovo	Slavjanovo (plev)
smochevo,_dupn	Smochevo (dupn)
smochevo	Smochevo (dupn)
smolsko,_pird	Smolsko (pird)
smolsko	Smolsko (pird)
solishta,_dev	Solishta (dev)
solishta	Solishta (dev)
sredec,_zlgr	Sredec (zlgr)
sredec	Sredec (zlgr)
stakevci,_blgr	Stakevci (blgr)
stakevci	Stakevci (blgr)
stambolovo,_hask	Stambolovo (hask)
stambolovo	Stambolovo (hask)
stoilovo,_mt	Stoilovo (mt)
stoilovo	Stoilovo (mt)
straldzha,_jamb	Straldzha (jamb)
straldzha	Straldzha (jamb)
stroevo,_plov	Stroevo (plov)
stroevo	Stroevo (plov)
sushica,_blgr	Sushica (blgr)
sushica	Sushica (blgr)
svetlina,_topgr	Svetlina (topgr)
svetlina	Svetlina (topgr)
svirkovo,_harm	Svirkovo (harm)
svirkovo	Svirkovo (harm)
tihomir,_krgr	Tihomir (krgr)
tihomir	Tihomir (krgr)
tihomirovo,_stzag	Tihomirovo (stzag)
tihomirovo	Tihomirovo (stzag)
topolchane,_sliv	Topolchane (sliv)
topolchane	Topolchane (sliv)
trancovica,_nik	Trancovica (nik)
trancovica	Trancovica (nik)
trastenik,_plev	Trastenik (plev)
trastenik	Trastenik (plev)
ustovo,_sm	Ustovo (sm)
ustovo	Ustovo (sm)
vabel,_nik	Vabel (nik)
vabel	Vabel (nik)
vaklinovo,_gd	Vaklinovo (gd)
vaklinovo	Vaklinovo (gd)
valche_pole,_svgr	Valche pole (svgr)
valche_pole	Valche pole (svgr)
varbica,_presl	Varbica (presl)
varbica	Varbica (presl)
varbovo,_blgr	Varbovo (blgr)
varbovo	Varbovo (blgr)
vardun,_targ	Vardun (targ)
vardun	Vardun (targ)
varvara,_paz	Varvara (paz)
varvara	Varvara (paz)
vasiljovo,_tetev	Vasiljovo (tetev)
vasiljovo	Vasiljovo (tetev)
velkovci,_pk	Velkovci (pk)
velkovci	Velkovci (pk)
vinarovo,_vid	Vinarovo (vid)
vinarovo	Vinarovo (vid)
vladinja,_lov	Vladinja (lov)
vladinja	Vladinja (lov)
voden,_elh	Voden (elh)
voden	Voden (elh)
vojnjagovo,_karl	Vojnjagovo (karl)
vojnjagovo	Vojnjagovo (karl)
vrachesh,_botgr	Vrachesh (botgr)
vrachesh	Vrachesh (botgr)
vranilovci,_gabr	Vranilovci (gabr)
vranilovci	Vranilovci (gabr)
vresovo,_ajt	Vresovo (ajt)
vresovo	Vresovo (ajt)
zabardo,_asgr	Zabardo (asgr)
zabardo	Zabardo (asgr)
zabernovo,_mt	Zabernovo (mt)
zabernovo	Zabernovo (mt)
zanozhene,_berk	Zanozhene (berk)
zanozhene	Zanozhene (berk)
zdravkovec,_gabr	Zdravkovec (gabr)
zdravkovec	Zdravkovec (gabr)
zelenigrad,_tran	Zelenigrad (tran)
zelenigrad	Zelenigrad (tran)
zhaltusha,_ard	Zhaltusha (ard)
zhaltusha	Zhaltusha (ard)
zheglica,_vid	Zheglica (vid)
zheglica	Zheglica (vid)
zhelen,_svog	Zhelen (svog)
zhelen	Zhelen (svog)
zheljazkovo,_sred	Zheljazkovo (sred)
zheljazkovo	Zheljazkovo (sred)
zheravna,_kot	Zheravna (kot)
zheravna	Zheravna (kot)
dsh	Dàshí
ega	Égà
enq	Ēnqī
ery	Ěryuán
ggx	Gōngxìng
heq	Hèqìng
jnc	Jiànchuàn
jnm	Jīnmǎn
jnx	Jīnxīng
lbz	Luòběnzhuō
lnp	Lánpíng
mzl	Mǎzhělóng
qlq	Qīlǐqiáo
tol	Tuōluò
xgy	Xiángyún
ynl	Yúnlóng
zuc	Zhōuchéng
asparuhovo,_lom_2	Asparuhovo (lom)
asparuhovo	Asparuhovo (lom)
asparuhovo,_prov_2	Asparuhovo (prov)
asparuhovo	Asparuhovo (prov)
babjak,_razl_2	Babjak (razl)
babjak	Babjak (razl)
bachkovo,_asgr_2	Bachkovo (asgr)
bachkovo	Bachkovo (asgr)
bagrenci,_kjust_2	Bagrenci (kjust)
bagrenci	Bagrenci (kjust)
balgari,_carev_2	Balgari (carev)
balgari	Balgari (carev)
banishte,_brezn_2	Banishte (brezn)
banishte	Banishte (brezn)
bansko,_razl_2	Bansko (razl)
bansko	Bansko (razl)
beglezh,_luk_2	Beglezh (luk)
beglezh	Beglezh (luk)
belene,_svisht_2	Belene (svisht)
belene	Belene (svisht)
belica,_razl_2	Belica (razl)
belica	Belica (razl)
bistrica,_blgr_2	Bistrica (blgr)
bistrica	Bistrica (blgr)
bogdanov_dol,_pern_2	Bogdanov dol (pern)
bogdanov_dol	Bogdanov dol (pern)
borisovo,_elh_2	Borisovo (elh)
borisovo	Borisovo (elh)
bov,_svog_2	Bov (svog)
bov	Bov (svog)
brashljan,_mtarn_2	Brashljan (mtarn)
brashljan	Brashljan (mtarn)
buchin_prohod,_god_2	Buchin prohod (god)
buchin_prohod	Buchin prohod (god)
caparevo,_sand_2	Caparevo (sand)
caparevo	Caparevo (sand)
cerovica,_kjust_2	Cerovica (kjust)
cerovica	Cerovica (kjust)
chepelare,_asgr_2	Chepelare (asgr)
chepelare	Chepelare (asgr)
chernogorovo,_paz_2	Chernogorovo (paz)
chernogorovo	Chernogorovo (paz)
chernomorec,_bs_2	Chernomorec (bs)
chernomorec	Chernomorec (bs)
chukovec,_radom_2	Chukovec (radom)
chukovec	Chukovec (radom)
dermanci,_luk_2	Dermanci (luk)
dermanci	Dermanci (luk)
devenci,_luk_2	Devenci (luk)
devenci	Devenci (luk)
devesilica,_krgr_2	Devesilica (krgr)
devesilica	Devesilica (krgr)
dichin,_vtarn_2	Dichin (vtarn)
dichin	Dichin (vtarn)
dinevo,_hask_2	Dinevo (hask)
dinevo	Dinevo (hask)
diva_slatina,_mont_2	Diva slatina (mont)
diva_slatina	Diva slatina (mont)
divdjadovo,_shum_2	Divdjadovo (shum)
divdjadovo	Divdjadovo (shum)
dobarsko,_razl_2	Dobarsko (razl)
dobarsko	Dobarsko (razl)
dobroselec,_topgr_2	Dobroselec (topgr)
dobroselec	Dobroselec (topgr)
dobroslavci,_sof_2	Dobroslavci (sof)
dobroslavci	Dobroslavci (sof)
dobrotino,_gd_2	Dobrotino (gd)
dobrotino	Dobrotino (gd)
dolna_beshovica,_vrach_2	Dolna beshovica (vrach)
dolna_beshovica	Dolna beshovica (vrach)
dolna_melna,_tran_2	Dolna melna (tran)
dolna_melna	Dolna melna (tran)
dolna_riksa,_mont_2	Dolna riksa (mont)
dolna_riksa	Dolna riksa (mont)
dolna_srudena,_bel_2	Dolna srudena (bel)
dolna_srudena	Dolna srudena (bel)
dolni_bogrov,_sof_2	Dolni bogrov (sof)
dolni_bogrov	Dolni bogrov (sof)
dolno_levski,_pan_2	Dolno levski (pan)
dolno_levski	Dolno levski (pan)
dorkovo,_velgr_2	Dorkovo (velgr)
dorkovo	Dorkovo (velgr)
drabishna,_ivgr_2	Drabishna (ivgr)
drabishna	Drabishna (ivgr)
dragizhevo,_vtarn_2	Dragizhevo (vtarn)
dragizhevo	Dragizhevo (vtarn)
dragodanovo,_sliv_2	Dragodanovo (sliv)
dragodanovo	Dragodanovo (sliv)
dragoevo,_presl_2	Dragoevo (presl)
dragoevo	Dragoevo (presl)
dragojchinci,_kjust_2	Dragojchinci (kjust)
dragojchinci	Dragojchinci (kjust)
elov_dol,_pk_2	Elov dol (pk)
elov_dol	Elov dol (pk)
enina,_kaz_2	Enina (kaz)
enina	Enina (kaz)
ezerovo,_parvom_2	Ezerovo (parvom)
ezerovo	Ezerovo (parvom)
furen,_vrach_2	Furen (vrach)
furen	Furen (vrach)
gabare,_bslat_2	Gabare (bslat)
gabare	Gabare (bslat)
gabra,_elpel_2	Gabra (elpel)
gabra	Gabra (elpel)
galata,_tetev_2	Galata (tetev)
galata	Galata (tetev)
ganchovec,_drjan_2	Ganchovec (drjan)
ganchovec	Ganchovec (drjan)
garmen,_gd_2	Garmen (gd)
garmen	Garmen (gd)
garvan,_sil_2	Garvan (sil)
garvan	Garvan (sil)
gega,_petr_2	Gega (petr)
gega	Gega (petr)
glozhene,_orjah_2	Glozhene (orjah)
glozhene	Glozhene (orjah)
golema_rakovica,_elpel_2	Golema rakovica (elpel)
golema_rakovica	Golema rakovica (elpel)
golemo_malovo,_sliven_2	Golemo malovo (sliven)
golemo_malovo	Golemo malovo (sliven)
golica,_varn_2	Golica (varn)
golica	Golica (varn)
goljama_zheljazna,_tetev_2	Goljama zheljazna (tetev)
goljama_zheljazna	Goljama zheljazna (tetev)
goljamo_shivachevo,_sliv_2	Goljamo shivachevo (sliv)
goljamo_shivachevo	Goljamo shivachevo (sliv)
gorna_rosica,_sevl_2	Gorna rosica (sevl)
gorna_rosica	Gorna rosica (sevl)
gorni_varpishta,_drjan_2	Gorni varpishta (drjan)
gorni_varpishta	Gorni varpishta (drjan)
govedarci,_sam_2	Govedarci (sam)
govedarci	Govedarci (sam)
gradec,_vd_2	Gradec (vd)
gradec	Gradec (vd)
huhla,_ivgr_2	Huhla (ivgr)
huhla	Huhla (ivgr)
hvojna,_asgr_2	Hvojna (asgr)
hvojna	Hvojna (asgr)
indzhe_vojvoda,_mtarn_2	Indzhe vojvoda (mtarn)
indzhe_vojvoda	Indzhe vojvoda (mtarn)
ivanski,_shum_2	Ivanski (shum)
ivanski	Ivanski (shum)
izvorovo,_harm_2	Izvorovo (harm)
izvorovo	Izvorovo (harm)
javorovo,_asgr_2	Javorovo (asgr)
javorovo	Javorovo (asgr)
kalipetrovo,_sil_2	Kalipetrovo (sil)
kalipetrovo	Kalipetrovo (sil)
kalojanovo,_plov_2	Kalojanovo (plov)
kalojanovo	Kalojanovo (plov)
karaisen,_pavl_2	Karaisen (pavl)
karaisen	Karaisen (pavl)
karanovo,_ajt_2	Karanovo (ajt)
karanovo	Karanovo (ajt)
kaspichan,_np_2	Kaspichan (np)
kaspichan	Kaspichan (np)
kolju_marinovo,_chirp_2	Kolju marinovo (chirp)
kolju_marinovo	Kolju marinovo (chirp)
kopilovci,_mont_2	Kopilovci (mont)
kopilovci	Kopilovci (mont)
koprivshtica,_pird_2	Koprivshtica (pird)
koprivshtica	Koprivshtica (pird)
korten,_nzag_2	Korten (nzag)
korten	Korten (nzag)
kostenec,_iht_2	Kostenec (iht)
kostenec	Kostenec (iht)
kovachevci,_sam_2	Kovachevci (sam)
kovachevci	Kovachevci (sam)
kozichino,_pom_2	Kozichino (pom)
kozichino	Kozichino (pom)
kramolin,_sevl_2	Kramolin (sevl)
kramolin	Kramolin (sevl)
kravenik,_sevl_2	Kravenik (sevl)
kravenik	Kravenik (sevl)
kreta,_vrach_2	Kreta (vrach)
kreta	Kreta (vrach)
krivnja,_razgr_2	Krivnja (razgr)
krivnja	Krivnja (razgr)
levunovo,_sand_2	Levunovo (sand)
levunovo	Levunovo (sand)
lipnica,_botgr_2	Lipnica (botgr)
lipnica	Lipnica (botgr)
ljubenova_mahala,_nzag_2	Ljubenova mahala (nzag)
ljubenova_mahala	Ljubenova mahala (nzag)
lobosh,_rad_2	Lobosh (rad)
lobosh	Lobosh (rad)
lozen,_sof_2	Lozen (sof)
lozen	Lozen (sof)
malomirovo,_elh_2	Malomirovo (elh)
malomirovo	Malomirovo (elh)
marikostinovo,_petr_2	Marikostinovo (petr)
marikostinovo	Marikostinovo (petr)
markovo,_shum_2	Markovo (shum)
markovo	Markovo (shum)
merdanja,_vtarn_2	Merdanja (vtarn)
merdanja	Merdanja (vtarn)
merichleri,_chirp_2	Merichleri (chirp)
merichleri	Merichleri (chirp)
mihalci,_pavl_2	Mihalci (pavl)
mihalci	Mihalci (pavl)
milchina_laka,_kul_2	Milchina laka (kul)
milchina_laka	Milchina laka (kul)
momchilovci,_smol_2	Momchilovci (smol)
momchilovci	Momchilovci (smol)
momina_banja,_pl_2	Momina banja (pl)
momina_banja	Momina banja (pl)
momina_klisura,_pz_2	Momina klisura (pz)
momina_klisura	Momina klisura (pz)
momkovo,_svgr_2	Momkovo (svgr)
momkovo	Momkovo (svgr)
mugla,_dev_2	Mugla (dev)
mugla	Mugla (dev)
nikolovo(lipnik),_rus_2	Nikolovo(lipnik) (rus)
nikolovo(lipnik)	Nikolovo(lipnik) (rus)
nikolovo,_hask_2	Nikolovo (hask)
nikolovo	Nikolovo (hask)
noevci,_brezn_2	Noevci (brezn)
noevci	Noevci (brezn)
nova_lovcha,_gd_2	Nova lovcha (gd)
nova_lovcha	Nova lovcha (gd)
nova_nadezhda,_hs_2	Nova nadezhda (hs)
nova_nadezhda	Nova nadezhda (hs)
novo_selo,_trojan_2	Novo selo (trojan)
novo_selo	Novo selo (trojan)
ognen,_karn_2	Ognen (karn)
ognen	Ognen (karn)
omarchevo,_nzag_2	Omarchevo (nzag)
omarchevo	Omarchevo (nzag)
opan,_stzag_2	Opan (stzag)
opan	Opan (stzag)
osenec,_razgr_2	Osenec (razgr)
osenec	Osenec (razgr)
panagjurishte,_gd_2	Panagjurishte (gd)
panagjurishte	Panagjurishte (gd)
pavelsko,_asgr_2	Pavelsko (asgr)
pavelsko	Pavelsko (asgr)
pelatikovo,_kjust_2	Pelatikovo (kjust)
pelatikovo	Pelatikovo (kjust)
petarnica,_plev_2	Petarnica (plev)
petarnica	Petarnica (plev)
pevec,_targ_2	Pevec (targ)
pevec	Pevec (targ)
plakovo,_vt_2	Plakovo (vt)
plakovo	Plakovo (vt)
podvis,_karn_2	Podvis (karn)
podvis	Podvis (karn)
pozharevo,_tutr_2	Pozharevo (tutr)
pozharevo	Pozharevo (tutr)
rabisha,_belgr_2	Rabisha (belgr)
rabisha	Rabisha (belgr)
radovene,_vr_2	Radovene (vr)
radovene	Radovene (vr)
rakovica,_kul_2	Rakovica (kul)
rakovica	Rakovica (kul)
rani_lug,_tryn_2	Rani lug (tryn)
rani_lug	Rani lug (tryn)
ruzhinci,_belgr_2	Ruzhinci (belgr)
ruzhinci	Ruzhinci (belgr)
sekirovo,_plov_2	Sekirovo (plov)
sekirovo	Sekirovo (plov)
senokos,_blgr_2	Senokos (blgr)
senokos	Senokos (blgr)
sestrino,_petr_2	Sestrino (petr)
sestrino	Sestrino (petr)
shipka,_kaz_2	Shipka (kaz)
shipka	Shipka (kaz)
shiroka_laka,_dev_2	Shiroka laka (dev)
shiroka_laka	Shiroka laka (dev)
shiroki_dol,_sam_2	Shiroki dol (sam)
shiroki_dol	Shiroki dol (sam)
shtipsko,_prov_2	Shtipsko (prov)
shtipsko	Shtipsko (prov)
skobelevo,_sliv_2	Skobelevo (sliv)
skobelevo	Skobelevo (sliv)
slaveino,_smol_2	Slaveino (smol)
slaveino	Slaveino (smol)
slavjanovo,_plev_2	Slavjanovo (plev)
slavjanovo	Slavjanovo (plev)
smochevo,_dupn_2	Smochevo (dupn)
smochevo	Smochevo (dupn)
smolsko,_pird_2	Smolsko (pird)
smolsko	Smolsko (pird)
solishta,_dev_2	Solishta (dev)
solishta	Solishta (dev)
sredec,_zlgr_2	Sredec (zlgr)
sredec	Sredec (zlgr)
stakevci,_blgr_2	Stakevci (blgr)
stakevci	Stakevci (blgr)
stambolovo,_hask_2	Stambolovo (hask)
stambolovo	Stambolovo (hask)
stoilovo,_mt_2	Stoilovo (mt)
stoilovo	Stoilovo (mt)
straldzha,_jamb_2	Straldzha (jamb)
straldzha	Straldzha (jamb)
stroevo,_plov_2	Stroevo (plov)
stroevo	Stroevo (plov)
sushica,_blgr_2	Sushica (blgr)
sushica	Sushica (blgr)
svetlina,_topgr_2	Svetlina (topgr)
svetlina	Svetlina (topgr)
svirkovo,_harm_2	Svirkovo (harm)
svirkovo	Svirkovo (harm)
tihomir,_krgr_2	Tihomir (krgr)
tihomir	Tihomir (krgr)
tihomirovo,_stzag_2	Tihomirovo (stzag)
tihomirovo	Tihomirovo (stzag)
topolchane,_sliv_2	Topolchane (sliv)
topolchane	Topolchane (sliv)
trancovica,_nik_2	Trancovica (nik)
trancovica	Trancovica (nik)
trastenik,_plev_2	Trastenik (plev)
trastenik	Trastenik (plev)
ustovo,_sm_2	Ustovo (sm)
ustovo	Ustovo (sm)
vabel,_nik_2	Vabel (nik)
vabel	Vabel (nik)
vaklinovo,_gd_2	Vaklinovo (gd)
vaklinovo	Vaklinovo (gd)
valche_pole,_svgr_2	Valche pole (svgr)
valche_pole	Valche pole (svgr)
varbica,_presl_2	Varbica (presl)
varbica	Varbica (presl)
varbovo,_blgr_2	Varbovo (blgr)
varbovo	Varbovo (blgr)
vardun,_targ_2	Vardun (targ)
vardun	Vardun (targ)
varvara,_paz_2	Varvara (paz)
varvara	Varvara (paz)
vasiljovo,_tetev_2	Vasiljovo (tetev)
vasiljovo	Vasiljovo (tetev)
velkovci,_pk_2	Velkovci (pk)
velkovci	Velkovci (pk)
vinarovo,_vid_2	Vinarovo (vid)
vinarovo	Vinarovo (vid)
vladinja,_lov_2	Vladinja (lov)
vladinja	Vladinja (lov)
voden,_elh_2	Voden (elh)
voden	Voden (elh)
vojnjagovo,_karl_2	Vojnjagovo (karl)
vojnjagovo	Vojnjagovo (karl)
vrachesh,_botgr_2	Vrachesh (botgr)
vrachesh	Vrachesh (botgr)
vranilovci,_gabr_2	Vranilovci (gabr)
vranilovci	Vranilovci (gabr)
vresovo,_ajt_2	Vresovo (ajt)
vresovo	Vresovo (ajt)
zabardo,_asgr_2	Zabardo (asgr)
zabardo	Zabardo (asgr)
zabernovo,_mt_2	Zabernovo (mt)
zabernovo	Zabernovo (mt)
zanozhene,_berk_2	Zanozhene (berk)
zanozhene	Zanozhene (berk)
zdravkovec,_gabr_2	Zdravkovec (gabr)
zdravkovec	Zdravkovec (gabr)
zelenigrad,_tran_2	Zelenigrad (tran)
zelenigrad	Zelenigrad (tran)
zhaltusha,_ard_2	Zhaltusha (ard)
zhaltusha	Zhaltusha (ard)
zheglica,_vid_2	Zheglica (vid)
zheglica	Zheglica (vid)
zhelen,_svog_2	Zhelen (svog)
zhelen	Zhelen (svog)
zheljazkovo,_sred_2	Zheljazkovo (sred)
zheljazkovo	Zheljazkovo (sred)
zheravna,_kot_2	Zheravna (kot)
zheravna	Zheravna (kot)
asparuhovo,_lom_3	Asparuhovo (lom)
asparuhovo	Asparuhovo (lom)
asparuhovo,_prov_3	Asparuhovo (prov)
asparuhovo	Asparuhovo (prov)
babjak,_razl_3	Babjak (razl)
babjak	Babjak (razl)
bachkovo,_asgr_3	Bachkovo (asgr)
bachkovo	Bachkovo (asgr)
bagrenci,_kjust_3	Bagrenci (kjust)
bagrenci	Bagrenci (kjust)
balgari,_carev_3	Balgari (carev)
balgari	Balgari (carev)
banishte,_brezn_3	Banishte (brezn)
banishte	Banishte (brezn)
bansko,_razl_3	Bansko (razl)
bansko	Bansko (razl)
beglezh,_luk_3	Beglezh (luk)
beglezh	Beglezh (luk)
belene,_svisht_3	Belene (svisht)
belene	Belene (svisht)
belica,_razl_3	Belica (razl)
belica	Belica (razl)
bistrica,_blgr_3	Bistrica (blgr)
bistrica	Bistrica (blgr)
bogdanov_dol,_pern_3	Bogdanov dol (pern)
bogdanov_dol	Bogdanov dol (pern)
borisovo,_elh_3	Borisovo (elh)
borisovo	Borisovo (elh)
bov,_svog_3	Bov (svog)
bov	Bov (svog)
brashljan,_mtarn_3	Brashljan (mtarn)
brashljan	Brashljan (mtarn)
buchin_prohod,_god_3	Buchin prohod (god)
buchin_prohod	Buchin prohod (god)
caparevo,_sand_3	Caparevo (sand)
caparevo	Caparevo (sand)
cerovica,_kjust_3	Cerovica (kjust)
cerovica	Cerovica (kjust)
chepelare,_asgr_3	Chepelare (asgr)
chepelare	Chepelare (asgr)
chernogorovo,_paz_3	Chernogorovo (paz)
chernogorovo	Chernogorovo (paz)
chernomorec,_bs_3	Chernomorec (bs)
chernomorec	Chernomorec (bs)
chukovec,_radom_3	Chukovec (radom)
chukovec	Chukovec (radom)
dermanci,_luk_3	Dermanci (luk)
dermanci	Dermanci (luk)
devenci,_luk_3	Devenci (luk)
devenci	Devenci (luk)
devesilica,_krgr_3	Devesilica (krgr)
devesilica	Devesilica (krgr)
dichin,_vtarn_3	Dichin (vtarn)
dichin	Dichin (vtarn)
dinevo,_hask_3	Dinevo (hask)
dinevo	Dinevo (hask)
diva_slatina,_mont_3	Diva slatina (mont)
diva_slatina	Diva slatina (mont)
divdjadovo,_shum_3	Divdjadovo (shum)
divdjadovo	Divdjadovo (shum)
dobarsko,_razl_3	Dobarsko (razl)
dobarsko	Dobarsko (razl)
dobroselec,_topgr_3	Dobroselec (topgr)
dobroselec	Dobroselec (topgr)
dobroslavci,_sof_3	Dobroslavci (sof)
dobroslavci	Dobroslavci (sof)
dobrotino,_gd_3	Dobrotino (gd)
dobrotino	Dobrotino (gd)
dolna_beshovica,_vrach_3	Dolna beshovica (vrach)
dolna_beshovica	Dolna beshovica (vrach)
dolna_melna,_tran_3	Dolna melna (tran)
dolna_melna	Dolna melna (tran)
dolna_riksa,_mont_3	Dolna riksa (mont)
dolna_riksa	Dolna riksa (mont)
dolna_srudena,_bel_3	Dolna srudena (bel)
